"","missed.crises","Model","value"
"1",0.05,"Signal-Extraction",0
"2",0.05,"Logistic",0
"3",0.05,"SVM",0
"4",0.05,"Random Forests",0
"5",0.05,"AdaBoost",0
"6",0.1,"Signal-Extraction",0
"7",0.1,"Logistic",0.127429805615551
"8",0.1,"SVM",0.0885529157667386
"9",0.1,"Random Forests",0
"10",0.1,"AdaBoost",0.319654427645788
"11",0.15,"Signal-Extraction",0.00215982721382291
"12",0.15,"Logistic",0.19438444924406
"13",0.15,"SVM",0.101511879049676
"14",0.15,"Random Forests",0
"15",0.15,"AdaBoost",0.345572354211663
"16",0.2,"Signal-Extraction",0.0583153347732182
"17",0.2,"Logistic",0.339092872570194
"18",0.2,"SVM",0.151187904967603
"19",0.2,"Random Forests",0.0885529157667386
"20",0.2,"AdaBoost",0.373650107991361
"21",0.25,"Signal-Extraction",0.129589632829374
"22",0.25,"Logistic",0.367170626349892
"23",0.25,"SVM",0.155507559395248
"24",0.25,"Random Forests",0.0885529157667386
"25",0.25,"AdaBoost",0.373650107991361
"26",0.3,"Signal-Extraction",0.317494600431965
"27",0.3,"Logistic",0.438444924406048
"28",0.3,"SVM",0.177105831533477
"29",0.3,"Random Forests",0.142548596112311
"30",0.3,"AdaBoost",0.49244060475162
"31",0.35,"Signal-Extraction",0.384449244060475
"32",0.35,"Logistic",0.473002159827214
"33",0.35,"SVM",0.209503239740821
"34",0.35,"Random Forests",0.142548596112311
"35",0.35,"AdaBoost",0.568034557235421
"36",0.4,"Signal-Extraction",0.44060475161987
"37",0.4,"Logistic",0.615550755939525
"38",0.4,"SVM",0.228941684665227
"39",0.4,"Random Forests",0.192224622030238
"40",0.4,"AdaBoost",0.628509719222462
"41",0.45,"Signal-Extraction",0.470842332613391
"42",0.45,"Logistic",0.615550755939525
"43",0.45,"SVM",0.26133909287257
"44",0.45,"Random Forests",0.192224622030238
"45",0.45,"AdaBoost",0.637149028077754
"46",0.5,"Signal-Extraction",0.509719222462203
"47",0.5,"Logistic",0.637149028077754
"48",0.5,"SVM",0.289416846652268
"49",0.5,"Random Forests",0.34341252699784
"50",0.5,"AdaBoost",0.67170626349892
"51",0.55,"Signal-Extraction",0.598272138228942
"52",0.55,"Logistic",0.682505399568035
"53",0.55,"SVM",0.315334773218143
"54",0.55,"Random Forests",0.380129589632829
"55",0.55,"AdaBoost",0.678185745140389
"56",0.6,"Signal-Extraction",0.67170626349892
"57",0.6,"Logistic",0.749460043196544
"58",0.6,"SVM",0.352051835853132
"59",0.6,"Random Forests",0.421166306695464
"60",0.6,"AdaBoost",0.740820734341253
"61",0.65,"Signal-Extraction",0.751619870410367
"62",0.65,"Logistic",0.773218142548596
"63",0.65,"SVM",0.494600431965443
"64",0.65,"Random Forests",0.518358531317495
"65",0.65,"AdaBoost",0.740820734341253
"66",0.7,"Signal-Extraction",0.900647948164147
"67",0.7,"Logistic",0.792656587473002
"68",0.7,"SVM",0.557235421166307
"69",0.7,"Random Forests",0.557235421166307
"70",0.7,"AdaBoost",0.773218142548596
"71",0.75,"Signal-Extraction",0.93304535637149
"72",0.75,"Logistic",0.799136069114471
"73",0.75,"SVM",0.591792656587473
"74",0.75,"Random Forests",0.568034557235421
"75",0.75,"AdaBoost",0.794816414686825
"76",0.8,"Signal-Extraction",0.991360691144708
"77",0.8,"Logistic",0.818574514038877
"78",0.8,"SVM",0.60475161987041
"79",0.8,"Random Forests",0.665226781857451
"80",0.8,"AdaBoost",0.818574514038877
"81",0.85,"Signal-Extraction",0.987041036717063
"82",0.85,"Logistic",0.827213822894168
"83",0.85,"SVM",0.67170626349892
"84",0.85,"Random Forests",0.727861771058315
"85",0.85,"AdaBoost",0.863930885529158
"86",0.9,"Signal-Extraction",0.991360691144708
"87",0.9,"Logistic",0.833693304535637
"88",0.9,"SVM",0.676025917926566
"89",0.9,"Random Forests",0.740820734341253
"90",0.9,"AdaBoost",0.883369330453564
"91",0.95,"Signal-Extraction",0.997840172786177
"92",0.95,"Logistic",0.857451403887689
"93",0.95,"SVM",0.98488120950324
"94",0.95,"Random Forests",0.948164146868251
"95",0.95,"AdaBoost",0.976241900647948
"96",1,"Signal-Extraction",1
"97",1,"Logistic",0.967602591792657
"98",1,"SVM",1
"99",1,"Random Forests",0.991360691144708
"100",1,"AdaBoost",1
