"","x"
"1",26
"2",11
"3",25
"4",15
"5",59
"6",44
"7",60
"8",1
"9",65
"10",54
"11",48
"12",53
"13",18
"14",57
"15",37
"16",8
"17",13
"18",61
"19",49
"20",9
"21",34
"22",24
"23",7
"24",40
"25",23
"26",28
"27",43
"28",31
"29",20
"30",35
"31",2
"32",6
"33",10
"34",56
"35",33
"36",22
"37",39
"38",55
"39",52
"40",51
"41",45
"42",58
"43",46
"44",14
"45",27
"46",19
"47",4
"48",3
"49",16
"50",32
"51",47
"52",62
"53",17
"54",5
"55",29
"56",38
"57",21
"58",50
"59",41
"60",42
"61",30
"62",12
"63",63
"64",64
"65",66
"66",36
