Alpha,MSE
0.1,6642.303388969212
0.15000000000000002,6843.1467109467685
0.2,6791.780974427547
0.25,6359.795582067314
0.30000000000000004,5882.93989254613
0.35,5588.8305609843865
0.4,5102.3513955556955
0.45000000000000007,4802.861551028373
0.5,4531.7303995143675
0.55,4240.981635352601
0.6,3725.175450519977
0.65,3214.7919806675236
0.7000000000000001,2981.506517000341
0.75,2809.4614219704818
0.8,25021.951946905552
0.85,33865.5166535813
0.9,97651.38098115745
0.9500000000000001,125928.5359891578
1,190000.81911516358
