Year.cutoff,Alpha_low,Alpha_high,Alpha_se
1993,0.55,0.55,0.03301848635055417
1994,0.6,0.6,0.03559894056202109
1995,0.7000000000000001,0.7000000000000001,0.03461786812597186
1996,0.7000000000000001,0.7000000000000001,0.030093208576102082
1997,0.5,0.5,0.04278517432808478
1998,0.4,0.4,0.05373392475279143
1999,0.85,0.85,0.03423893411335137
2000,0.8,0.8,0.018318874483020435
2001,0.30000000000000004,0.30000000000000004,0.06504784735015984
2002,0.25,0.25,0.06437646042859578
2003,0.65,0.65,0.028952832902259258
2004,0.4,0.4,0.05326042946403412
2005,0.65,0.65,0.03011983414326229
2006,0.7000000000000001,0.7000000000000001,0.024493874740424085
2007,0.9,0.9,0.010256724662464372
2008,0.35,0.35,0.07411359963800519
2009,0.15000000000000002,0.15000000000000002,0.10189900300605177
2010,0.15000000000000002,0.15000000000000002,0.0827805244635535
2011,0.8,0.8,0.01872274237830366
2012,0.7000000000000001,0.7000000000000001,0.011837239563384746
2013,0.9,0.9,0.01801218692317822
2014,0.8,0.8,0.044808543953384815
2015,0.1,0.1,0.029836562149178396
2016,0.2,0.2,0.02398626026213221
2017,0.2,0.2,0.061147674331508944
2018,0.1,0.1,0.08502475178930913
2019,0.7000000000000001,0.7000000000000001,0.049816899209945385
