Alpha,MSE
0.1,2876.7658434816562
0.15000000000000002,2556.797092096641
0.2,2607.8578323001116
0.25,2642.685512212114
0.30000000000000004,3026.3866449272746
0.35,2223.1666684957872
0.4,1403.207083416884
0.45000000000000007,1133.9827526116737
0.5,907.910086183249
0.55,692.3740728984873
0.6,587.8849353229809
0.65,470.3836953536034
0.7000000000000001,332.97318984750876
0.75,390.7980715406995
0.8,331.33248201215486
0.85,335.69896457041915
0.9,237.86298631192284
0.9500000000000001,222.87415921268146
1,4062.5119428148773
