"alpha","method","R0","R1","viol","infeasible","delta_nominal","n"
0.1,"NP umbrella",0.920559951871142,0.0382699906849803,0.0668380462724936,0.611,0.1,1000
0.15,"NP umbrella",0.900296130158769,0.0519488660800403,0.0445344129554656,0.012,0.1,1000
0.2,"NP umbrella",0.841287257383849,0.0879251470254903,0.051051051051051,0.001,0.1,1000
0.3,"NP umbrella",0.72735557368903,0.167956624343286,0.065,0,0.1,1000
0.4,"NP umbrella",0.615214319469469,0.257061245730319,0.08,0,0.1,1000
0.5,"NP umbrella",0.514233143113952,0.345854893530697,0.066,0,0.1,1000
0.1,"plug-in quantile",0.79619962614838,0.118485727143441,0.532,0,0.1,1000
0.15,"plug-in quantile",0.728729031936242,0.167123107794362,0.517,0,0.1,1000
0.2,"plug-in quantile",0.671665557657468,0.210919149391536,0.507,0,0.1,1000
0.3,"plug-in quantile",0.55304991577353,0.310846995952053,0.507,0,0.1,1000
0.4,"plug-in quantile",0.455375824041488,0.402002726747878,0.514,0,0.1,1000
0.5,"plug-in quantile",0.362045953446265,0.49734550025422,0.502,0,0.1,1000
0.1,"symmetric",0.279595893821585,0.590319514552324,1,0,0.1,1000
0.15,"symmetric",0.279595893821585,0.590319514552324,1,0,0.1,1000
0.2,"symmetric",0.279595893821585,0.590319514552324,1,0,0.1,1000
0.3,"symmetric",0.279595893821585,0.590319514552324,0.987,0,0.1,1000
0.4,"symmetric",0.279595893821585,0.590319514552324,0.937,0,0.1,1000
0.5,"symmetric",0.279595893821585,0.590319514552324,0.741,0,0.1,1000
0.1,"NP umbrella",0.900495961812074,0.0407895938033085,0.039,0,0.1,2000
0.15,"NP umbrella",0.828666228023532,0.078700439858072,0.043,0,0.1,2000
0.2,"NP umbrella",0.762450556172852,0.11887986805139,0.054,0,0.1,2000
0.3,"NP umbrella",0.637648042217003,0.205678797381481,0.069,0,0.1,2000
0.4,"NP umbrella",0.530324359206546,0.292493647809121,0.067,0,0.1,2000
0.5,"NP umbrella",0.424451369464714,0.389561190522522,0.071,0,0.1,2000
0.1,"plug-in quantile",0.781168271080827,0.106953127638276,0.524,0,0.1,2000
0.15,"plug-in quantile",0.70591127658619,0.1563749903686,0.513,0,0.1,2000
0.2,"plug-in quantile",0.642326296579816,0.202047489898608,0.477,0,0.1,2000
0.3,"plug-in quantile",0.521381114821945,0.300055294461998,0.473,0,0.1,2000
0.4,"plug-in quantile",0.416715848829558,0.397130177037263,0.48,0,0.1,2000
0.5,"plug-in quantile",0.322366517084285,0.496243941213792,0.457,0,0.1,2000
0.1,"symmetric",0.319566268004086,0.50279650222383,1,0,0.1,2000
0.15,"symmetric",0.319566268004086,0.50279650222383,1,0,0.1,2000
0.2,"symmetric",0.319566268004086,0.50279650222383,0.999,0,0.1,2000
0.3,"symmetric",0.319566268004086,0.50279650222383,0.967,0,0.1,2000
0.4,"symmetric",0.319566268004086,0.50279650222383,0.811,0,0.1,2000
0.5,"symmetric",0.319566268004086,0.50279650222383,0.513,0,0.1,2000
0.1,"NP umbrella",0.841496554231865,0.059216746945676,0.063,0,0.1,4000
0.15,"NP umbrella",0.765242401259667,0.0990178565451906,0.079,0,0.1,4000
0.2,"NP umbrella",0.693610278249332,0.141935314768278,0.078,0,0.1,4000
0.3,"NP umbrella",0.563315790130156,0.23363901633281,0.069,0,0.1,4000
0.4,"NP umbrella",0.451373656834308,0.327911550662031,0.074,0,0.1,4000
0.5,"NP umbrella",0.352456706934459,0.424912522334281,0.067,0,0.1,4000
0.1,"plug-in quantile",0.756735849954647,0.103864358220306,0.511,0,0.1,4000
0.15,"plug-in quantile",0.676752122791919,0.152803573822874,0.51,0,0.1,4000
0.2,"plug-in quantile",0.606064582030397,0.201590151514713,0.5,0,0.1,4000
0.3,"plug-in quantile",0.48177517738068,0.30082599022376,0.516,0,0.1,4000
0.4,"plug-in quantile",0.376880467677956,0.399649934123999,0.495,0,0.1,4000
0.5,"plug-in quantile",0.287853791210877,0.496808921589333,0.477,0,0.1,4000
0.1,"symmetric",0.342828289665998,0.438674786927323,1,0,0.1,4000
0.15,"symmetric",0.342828289665998,0.438674786927323,1,0,0.1,4000
0.2,"symmetric",0.342828289665998,0.438674786927323,1,0,0.1,4000
0.3,"symmetric",0.342828289665998,0.438674786927323,0.943,0,0.1,4000
0.4,"symmetric",0.342828289665998,0.438674786927323,0.659,0,0.1,4000
0.5,"symmetric",0.342828289665998,0.438674786927323,0.263,0,0.1,4000
