"alpha","logD"
0.02,-1.24809369830355
0.03,-1.11982756975053
0.04,-1.02333795761222
0.05,-0.944851101695911
0.06,-0.878046460009047
0.07,-0.819471857945511
0.08,-0.767025288069607
0.09,-0.719327231096902
0.1,-0.675421091492982
0.11,-0.634614916523292
0.12,-0.596391129773517
0.13,-0.560351890319278
0.14,-0.526184392554063
0.15,-0.493637942730909
0.16,-0.462508306299489
0.17,-0.43262671496723
0.18,-0.403851956869017
0.19,-0.37606456368706
0.2,-0.349162458737899
0.21,-0.323057644744159
0.22,-0.29767364554861
0.23,-0.272943503835888
0.24,-0.248808195139705
0.25,-0.225215357812919
0.26,-0.20211826580748
0.27,-0.179474990167734
0.28,-0.157247708714796
0.29,-0.135402133206608
0.3,-0.113907030436091
0.31,-0.0927338190466197
0.32,-0.071856227826084
0.33,-0.0512500042539218
0.34,-0.0308926643770923
0.35,-0.0107632768646131
0.36,0.00915772453175445
0.37,0.028888704804457
0.38,0.0484469716483394
0.39,0.0678489027193429
0.4,0.0871100588250661
0.41,0.106245285247372
0.42,0.125268803050141
0.43,0.14419429194505
0.44,0.163034966061539
0.45,0.181803643783717
0.46,0.200512812668781
0.47,0.219174690342522
0.48,0.237801282172771
0.49,0.256404436447546
0.5,0.274995897728456
0.51,0.293587359009366
0.52,0.312190513284141
0.53,0.33081710511439
0.54,0.349478982788131
0.55,0.368188151673195
0.56,0.386956829395373
0.57,0.405797503511862
0.58,0.424722992406771
0.59,0.44374651020954
0.6,0.462881736631846
0.61,0.482142892737569
0.62,0.501544823808573
0.63,0.521103090652455
0.64,0.540834070925158
0.65,0.560755072321525
0.66,0.580884459834004
0.67,0.601241799710834
0.68,0.621848023282996
0.69,0.642725614503532
0.7,0.663898825893003
0.71,0.68539392866352
0.72,0.707239504171709
0.73,0.729466785624646
0.74,0.752110061264392
0.75,0.775207153269831
0.76,0.798799990596617
0.77,0.8229352992928
0.78,0.847665441005522
0.79,0.873049440201071
0.8,0.899154254194811
0.81,0.926056359143972
0.82,0.953843752325929
0.83,0.982618510424143
0.84,1.0125001017564
0.85,1.04362973818782
0.86,1.07617618801097
0.87,1.11034368577619
0.88,1.14638292523043
0.89,1.1846067119802
0.9,1.22541288694989
0.91,1.26931902655381
0.92,1.31701708352652
0.93,1.36946365340242
0.94,1.42803825546596
0.95,1.49484289715282
0.96,1.57332975306913
0.97,1.66981936520744
0.98,1.79808549376046
