"t","alpha_true","alpha_hat_mean","alpha_hat_sd","bias","rmse"
1,0.5,0.495666666666667,0.142356736253486,-0.0043333333333333,0.142185325074941
2,0.58,0.5715,0.143403738120815,-0.00850000000000006,0.143416642455934
3,0.66,0.640166666666667,0.137870712384224,-0.0198333333333334,0.139062336142226
4,0.74,0.715833333333333,0.130823116643747,-0.0241666666666667,0.132821935939312
5,0.82,0.786,0.110202003635829,-0.034,0.115152073363878
6,0.9,0.862166666666667,0.0924054550118228,-0.0378333333333334,0.0997079067409735
7,0.7875,0.764833333333333,0.110585121599999,-0.0226666666666666,0.112703519613778
8,0.675,0.67,0.134761029667545,-0.005,0.134629120178363
9,0.5625,0.569166666666667,0.143967801893906,0.00666666666666671,0.143882185601044
10,0.45,0.446833333333333,0.133570615230543,-0.00316666666666665,0.133385406498112
11,0.50625,0.497666666666667,0.139556951449513,-0.00858333333333328,0.139588308369051
12,0.5625,0.552,0.139502220646187,-0.0105,0.139664777234634
13,0.61875,0.613666666666667,0.133313404307729,-0.00508333333333333,0.133188071913366
14,0.675,0.663166666666667,0.130544161682501,-0.0118333333333334,0.130862523283024
15,0.73125,0.712833333333333,0.128251577427327,-0.0184166666666666,0.129355372907352
16,0.7875,0.769333333333333,0.113956904760957,-0.0181666666666668,0.115208144966694
17,0.84375,0.823833333333333,0.0985189940884984,-0.0199166666666667,0.100350946682131
18,0.9,0.844333333333333,0.097379831901131,-0.0556666666666666,0.11202678251204
19,0.828571428571429,0.808,0.105386690407519,-0.0205714285714286,0.107203157634478
20,0.757142857142857,0.7295,0.11868038357208,-0.0276428571428571,0.121664336945359
21,0.685714285714286,0.661166666666667,0.131813840385901,-0.024547619047619,0.133863952665119
22,0.614285714285714,0.608333333333333,0.137939527570757,-0.00595238095238093,0.137838019892522
23,0.542857142857143,0.546166666666667,0.148099348227375,0.00330952380952376,0.147889345469514
24,0.471428571428571,0.484,0.141281757906167,0.0125714285714286,0.14160522877467
25,0.4,0.401,0.14492184492727,0.001,0.144683562761405
